source_id,title,filename,source_type,role_in_project,url
S01_about_trust,Project Overview / About Us - HBCU Digital Library Trust,ABOUT US _ HBCU Digital Trust.pdf,web page printout,"Mission, vision, staff/advisory actors, history, language of trust/memory/access/preservation",https://www.thehbcutrust.org/about-us
S02_partnerships,Partnerships - HBCU Digital Library Trust,PARTNERSHIPS _ HBCU Digital Trust.pdf,web page printout,"Collaboration, key institutional actors, open access/preservation language",https://www.thehbcutrust.org/partnerships
S03_metadata_libguide,Metadata Guide - HBCU Digital Library Trust Guide for Contributors,Metadata Guide - HBCU Digital Library Trust- Guide for Contributors - LibGuides at Atlanta University Center - Robert W. Woodruff Library.pdf,contributor guide,"Respectful/sensitive/accurate description, Dublin Core, FAST, metadata fields, collaborative description",https://research.auctr.edu/c.php?g=1451206&p=10786542
S04_metadata_pdf,HBCU Digital Library Trust Metadata Guide for Digital Collections,HBCU Metadata Guide.pdf,metadata guide PDF,"Detailed field-level evidence for title, creator, date, description, subject, relation, source, rights",https://research.auctr.edu/HBCU-DLT
S05_scanning_hub_team,Scanning Hub Team - HBCU Digital Library Trust Guide for Contributors,Scanning Hub Team - HBCU Digital Library Trust- Guide for Contributors - LibGuides at Atlanta University Center - Robert W. Woodruff Library.pdf,contributor guide,Labor roles and staff visibility in digitization hub,https://research.auctr.edu/c.php?g=1451206&p=10786528
S06_material_formats,Material Formats - HBCU Digital Library Trust,MATERIAL FORMATS _ HBCU Digital Trust.pdf,web page printout,"Materials eligible/prioritized for digitization, copyright selection condition",https://www.thehbcutrust.org/services-2
S07_faqs,FAQs - HBCU Digital Library Trust,FAQs _ HBCU Digital Trust.pdf,web page printout,"Eligibility, Harvard connection, rights/ownership retained by HBCUs, open accessibility",https://www.thehbcutrust.org/services-1
S08_macarthur_grant,"AUC Woodruff Library Awarded $500,000 Grant from MacArthur Foundation","The AUC Woodruff Library Awarded $500,000 Grant from the MacArthur Foundation to Expand HBCU Digitization Project - Robert W. Woodruff Library_ Atlanta University Center (AUC) Library.pdf",news announcement,"Scale, sustainability, long-term digital stewardship, funding/infrastructure",https://www.auctr.edu/news-events/the-auc-woodruff-library-awarded-500000-grant-from-the-macarthur-foundation-to-expand-hbcu-digitization-project/
S09_digital_yard_transcript,The Digital Yard: An Exploration of the HBCU Digital Library Trust - Transcript,43df1b20-2297-4153-b273-4e8081964a1b_Transcript_.pdf,event transcript,"Rich workflow language, actor roles, values, public demonstration, contributor experience",event transcript / user supplied PDF
S10_research_guide,HBCU Digital Collection Research Guide: Conducting Research,71da6e00-a448-4117-8609-4afa2394e365_HBCU_Digital_Collection_Research_Guide_Conducting_Research.pdf,research guide,"End-user access, facets, relation/source metadata, oral histories, photographs, themes/subjects",https://research.auctr.edu/hbcudltresearch
S11_hbcu_library_alliance,HBCU Library Alliance - Programs / HBCU-CUL Digitization Initiative,HBCU Library Alliance.pdf,web page printout,"Historical precedent, librarian training, searchable database, collaborative digitization framework",https://hbculibraries.org/old-site/programs.html
S12_harvard_legacy_slavery,Harvard & the Legacy of Slavery Initiative,Harvard & the Legacy of Slavery Initiative.pdf,web page printout,External reparative initiative context and HBCU partnership priority,https://legacyofslavery.harvard.edu
