term,category,working_definition,why_it_matters_for_citation_maps,evidence_source_id,relation_grounding,example_edge_id,example_source_node,example_target_node,paper_function
ACCESS,research_use,Access relation derived from research guide language about using collection materials.,"Shows that materials become usable for researchers, students, and publics.",S10_research_guide,research_access_language,E054,Researchers / Students / Public Users,Photographs,"Shows that materials become usable for researchers, students, and publics."
ACKNOWLEDGES_AND_CELEBRATES,recognition,Recognizes lived experiences and Black legacy as part of repository mission.,Moves the model from access alone to personhood and recognition.,S01_about_trust,mission_value_language,E005,HBCU Digital Library Trust,"Institutional, Cultural, and Community Memory",Keeps Black institutional recognition visible as more than access.
ASSIGNS,workflow,Workflow relation for assigning identifiers or tracking structures.,Shows administrative and technical work that stabilizes archival objects.,S09_digital_yard_transcript,direct_workflow_language,E031,Digitization Project Manager,Unique Identifiers,Shows administrative and technical work that stabilizes archival objects.
ASSISTS_WITH_PACKING_AND_ORGANIZATION_OF,workflow,Workflow relation naming support for packing and organizing physical materials.,Makes pre-digitization care and logistics visible.,S09_digital_yard_transcript,direct_workflow_language,E026,Traveling Archivist,Archival Materials,Makes pre-digitization care and logistics visible.
ASSISTS_WITH_SELECTION_OF,workflow,Workflow relation naming support for selecting materials for digitization.,"Shows that selection is labor and judgment, not a neutral starting point.",S09_digital_yard_transcript,direct_workflow_language,E025,Traveling Archivist,Archival Materials,"Shows that selection is labor and judgment, not a neutral starting point."
BUILDS_CAPACITY_WITH,capacity,"Strengthens HBCU capacity for preservation, digitization, access, and stewardship.",Capacity-building is part of knowledge production infrastructure.,S01_about_trust,mission_language,E001,HBCU Digital Library Trust,Historically Black Colleges and Universities,Centers institutional capacity rather than only digital output.
CATALOGS,workflow,Workflow relation for cataloging materials after receipt.,Makes cataloging visible as part of the path to discoverability.,S09_digital_yard_transcript,direct_workflow_language,E028,Digitization Hub,Archival Materials,Makes cataloging visible as part of the path to discoverability.
COLLABORATED_WITH,history,Historical partnership relation used for earlier collaborative digitization work.,Places the current Trust within a longer institutional history.,S11_hbcu_library_alliance,historical_partnership_language,E015,Cornell University Library,HBCU Library Alliance,Places the current Trust within a longer institutional history.
COLLABORATES_WITH,collaboration,Connects partners and contributors working across institutions.,Counters solitary authorship models by making collaboration visible.,S02_partnerships,direct_workflow_language,E038,Metadata Staff / Information Professionals,Contributing HBCU Library and Archive Staff,Shows shared description and stewardship rather than one-way extraction.
CONTRIBUTE,contribution,Participation relation for HBCUs contributing materials to the Trust workflow.,"Names HBCUs as active contributors, not passive data sources.",S06_material_formats,institutional_participation_language,E016,Historically Black Colleges and Universities,Archival Materials,"Names HBCUs as active contributors, not passive data sources."
CONTRIBUTES_RESOURCES_TO,capacity,"Partnership relation naming resources, training, or best practices contributed to the Trust.",Shows infrastructural support behind repository access.,S07_faqs,partnership_resource_language,E012,Harvard Library,HBCU Digital Library Trust,Shows infrastructural support behind repository access.
CREATES,workflow,Creation relation for workflow artifacts such as OCR text or planning structures.,Marks technical production as part of knowledge infrastructure.,S09_digital_yard_transcript,direct_workflow_language,E032,Digitization Project Manager,Digitization Hub,Marks technical production as part of knowledge infrastructure.
CREATES_METADATA_FOR,metadata,Metadata labor relation connecting metadata workers to archival materials.,Makes descriptive labor visible as knowledge production.,S09_digital_yard_transcript,metadata_workflow_language,E037,Metadata Staff / Information Professionals,Archival Materials,Makes descriptive labor visible as knowledge production.
DESCRIBE,metadata,"Creates metadata that makes materials discoverable, legible, and contextually situated.",Description is knowledge production and interpretive labor.,S03_metadata_libguide,metadata_language,E045,Metadata Records,Archival Materials,"Shows description as an active relation, not a passive label."
DIGITIZES,digitization,Digitization relation for transforming physical or analog materials into digital form.,Names digitization as labor that precedes citation and access.,S09_digital_yard_transcript,direct_workflow_language,E044,Trusted audiovisual vendor,Audio and Video Recordings,Names digitization as labor that precedes citation and access.
FUNDS,funding,Funding relation connecting funders to the Trust or host institutions.,Identifies material support for preservation and access infrastructure.,S07_faqs,funding_partnership_language,E013,Harvard & the Legacy of Slavery Initiative,HBCU Digital Library Trust,Identifies material support for preservation and access infrastructure.
HANDLES_WITH_CARE,care,Represents careful physical treatment of materials during scanning and processing.,Brings embodied/technical care into a computational graph.,S09_digital_yard_transcript,direct_workflow_language,E034,Digital Imaging Librarian,Archival Materials,"Preserves care as an infrastructural practice, not merely affect."
HOSTS,infrastructure,Infrastructure relation connecting a host platform or institution to a collection.,Shows hosting as part of access and maintenance.,S01_about_trust,platform_hosting_language,E011,Atlanta University Center Robert W. Woodruff Library,HBCU Digital Collection,Shows hosting as part of access and maintenance.
INCLUDE,material,Material-type relation identifying what forms archival materials include.,"Expands the graph beyond texts to visual, audiovisual, and institutional records.",S06_material_formats,material_format_language,E021,Archival Materials,Photographs,"Expands the graph beyond texts to visual, audiovisual, and institutional records."
LINK_COMMONALITY_ACROSS,metadata,"Uses relation/source metadata to connect objects, topics, people, events, and HBCUs.",Important bridge between archive metadata and graph relationality.,S10_research_guide,metadata_research_language,E049,Metadata Records,Archival Materials,Makes relational discovery visible as a metadata function.
PARTNERS_WITH,collaboration,Partnership relation among institutions named in Trust documentation.,Shows collaboration as infrastructure for preservation and access.,S01_about_trust,partnership_language,E006,HBCU Digital Library Trust,HBCU Library Alliance,Shows collaboration as infrastructure for preservation and access.
PERFORMS_IMAGE_TREATMENT_ON,digitization,Digitization workflow relation for post-scan image treatment or processing.,Shows technical image work behind usable digital objects.,S09_digital_yard_transcript,direct_workflow_language,E035,Digitization Technical Assistant,Archival Materials,Shows technical image work behind usable digital objects.
PRESERVES,preservation,Keeps archival materials and digital assets available over time; includes preservation infrastructure and copies.,Sustaining memory requires preservation before scholarship can cite it.,S09_digital_yard_transcript,mission_language,E002,HBCU Digital Library Trust,Archival Materials,Shows that citation depends on materials being sustained over time.
PRESERVES_COPIES_OF,preservation,Preservation relation for copy retention or preservation network support.,Shows redundancy and long-term preservation as infrastructure.,S09_digital_yard_transcript,preservation_infrastructure_language,E057,Alabama Digital Preservation Network,HBCU Digital Collection,Shows redundancy and long-term preservation as infrastructure.
PREVIEWS_WITH,collaboration,Review relation for previewing digitized materials with HBCUs.,Shows collaboration and review before public access.,S09_digital_yard_transcript,direct_workflow_language,E041,Digitization Hub,Historically Black Colleges and Universities,Shows collaboration and review before public access.
PROTECT,rights,Rights relation linking rights statements to institutional ownership and control.,"Shows access as bounded by rights, ownership, and institutional authority.",S07_faqs,rights_language,E020,Rights Statements,Institutional Ownership and Control,"Shows access as bounded by rights, ownership, and institutional authority."
PROVIDES_ACCESS_TO,access,"Makes collections available to researchers, students, faculty, alumni, and publics.","Access is a relation produced by infrastructure, not a natural property of digitized objects.",S09_digital_yard_transcript,mission_access_language,E004,HBCU Digital Library Trust,HBCU Digital Collection,Expands citation maps to include access-making work.
QUALITY_CHECKS,workflow,Reviews materials and metadata before publication.,Quality control is invisible labor in final repository records.,S09_digital_yard_transcript,direct_workflow_language,E039,Digitization Project Manager,Archival Materials,Makes quality control visible as care and technical labor.
RECEIVES,workflow,Workflow relation for receipt of physical materials by the Digitization Hub.,Shows the movement of materials before digitization.,S09_digital_yard_transcript,direct_workflow_language,E027,Digitization Hub,Archival Materials,Shows the movement of materials before digitization.
REHOUSES,preservation,Preservation workflow relation for rehousing materials.,Names preservation labor before and alongside digitization.,S09_digital_yard_transcript,direct_workflow_language,E029,Digitization Hub,Archival Materials,Names preservation labor before and alongside digitization.
RESTORE_CONTEXT_TO,context,"Adds/searches context such as recto/verso writing, source, relation, and repository.",A graph relation for context that citation edges usually omit.,S04_metadata_pdf,metadata_language,E050,Metadata Records,Photographs,Prevents archival objects from appearing as isolated digital items.
RETAINS_OWNERSHIP_OF,rights,Indicates that HBCUs retain copyright/ownership of archival materials and digital derivatives.,"Allows citation maps to include rights/control, not just use.",S07_faqs,rights_language,E018,Historically Black Colleges and Universities,Archival Materials,Keeps institutional ownership visible in the access model.
RETURNS_TO,return,Names the movement of physical materials and files back to home HBCU institutions.,Marks non-extractive infrastructure and community/institutional control.,S09_digital_yard_transcript,direct_workflow_language,E042,Digitization Hub,Historically Black Colleges and Universities,Shows return as part of stewardship and non-extractive digitization.
SCANS,digitization,Digitization workflow relation for scanning materials.,Names scanning as labor behind digital availability.,S09_digital_yard_transcript,direct_workflow_language,E033,Digital Imaging Librarian,Photographs,Names scanning as labor behind digital availability.
SELECT,selection,Selection relation naming HBCU staff choice of materials.,Shows that digitized collections begin with selection and institutional judgment.,S06_material_formats,selection_language,E017,Contributing HBCU Library and Archive Staff,Archival Materials,Shows that digitized collections begin with selection and institutional judgment.
SERVES_AS,infrastructure,Institutional role relation connecting an organization to a hub function.,Shows institutional hosting and service roles.,S02_partnerships,institutional_role_language,E010,Atlanta University Center Robert W. Woodruff Library,Digitization Hub,Shows institutional hosting and service roles.
SHOULD_BE,metadata_ethics,"Normative metadata relation preserving guidance about respectful, sensitive, accurate description.","Shows that metadata is ethical guidance, not merely a technical field.",S03_metadata_libguide,metadata_guidance_language,E046,Metadata Records,"Respectful, Sensitive, and Accurate Description","Shows that metadata is ethical guidance, not merely a technical field."
SUPPORTS,capacity,"Provides resources, training, maintenance, or conditions for HBCU work.",Captures enabling infrastructure that conventional citation misses.,S07_faqs,support_language,E009,HBCU Library Alliance,Contributing HBCU Library and Archive Staff,Shows infrastructural and intellectual support beyond formal citation.
SUSTAINS,memory,"Maintains institutional, cultural, and community memory across time.",Useful for modeling continuity that is not captured by direct citation.,S01_about_trust,mission_language,E003,HBCU Digital Library Trust,"Institutional, Cultural, and Community Memory","Keeps memory as an active relation, not a static archive."
TRACKS,workflow,Workflow relation for tracking materials through the process.,Shows administrative tracking as part of accountability.,S09_digital_yard_transcript,direct_workflow_language,E030,Digitization Hub,Archival Materials,Shows administrative tracking as part of accountability.
UPLOADS_TO,infrastructure,Workflow relation for uploading access files and metadata to CONTENTdm.,Shows repository access as a produced outcome.,S09_digital_yard_transcript,direct_workflow_language,E040,Digitization Project Manager,CONTENTdm,Shows repository access as a produced outcome.
USE,research_use,"Use relation for metadata, rights statements, identifiers, or research access depending on edge context.",Shows use as mediated by metadata and documentation.,S04_metadata_pdf,metadata_or_research_language,E047,Metadata Records,Rights Statements,Shows use as mediated by metadata and documentation.
